[16-5-2014 09:39:48] Loaded CFG file c:\TimetrackerMonitor\config.txt
[16-5-2014 11:34:06] Monitored ON time: 14
[16-5-2014 11:35:06] Tracker is counting time.
[16-5-2014 11:35:07] Monitored ON time: 15
[16-5-2014 11:36:07] Tracker is counting time.
[16-5-2014 11:36:07] Monitored ON time: 16
[16-5-2014 11:37:07] Tracker is counting time.
[16-5-2014 11:37:07] Monitored ON time: 17
[16-5-2014 11:38:08] Tracker is counting time.
[16-5-2014 11:38:08] Monitored ON time: 18
[16-5-2014 11:39:08] Tracker is counting time.
[16-5-2014 11:39:08] Monitored ON time: 19
[16-5-2014 11:40:09] Tracker is counting time.
[16-5-2014 11:40:09] Monitored ON time: 20
[16-5-2014 11:41:09] Tracker is counting time.
[16-5-2014 11:41:09] Monitored ON time: 21
[16-5-2014 11:42:09] Tracker is counting time.
[16-5-2014 11:42:10] Monitored ON time: 22
[16-5-2014 11:43:10] Tracker is counting time.
[16-5-2014 11:43:10] Monitored ON time: 23
[16-5-2014 11:44:10] Tracker is counting time.
[16-5-2014 11:44:10] Monitored ON time: 24
[16-5-2014 11:45:11] Tracker is counting time.
[16-5-2014 11:45:11] Monitored ON time: 25
[16-5-2014 11:46:11] Tracker is counting time.
[16-5-2014 11:46:11] Monitored ON time: 26
[16-5-2014 11:47:12] Tracker is counting time.
[16-5-2014 11:47:12] Monitored ON time: 27
[16-5-2014 11:48:12] Tracker is counting time.
[16-5-2014 11:48:12] Monitored ON time: 28
[16-5-2014 11:49:12] Tracker is counting time.
[16-5-2014 11:49:12] Monitored ON time: 29
[16-5-2014 11:49:12] GOTO Pray :)
[16-5-2014 11:50:16] Tracker is counting time.
[16-5-2014 11:50:16] Monitored ON time: 30
[16-5-2014 11:51:16] Tracker is counting time.
[16-5-2014 11:51:16] Monitored ON time: 31
[16-5-2014 11:52:17] Tracker is counting time.
[16-5-2014 11:52:17] Monitored ON time: 32
[16-5-2014 11:53:17] Tracker is counting time.
[16-5-2014 11:53:17] Monitored ON time: 33
[16-5-2014 11:54:17] Tracker is counting time.
[16-5-2014 11:54:17] Monitored ON time: 34
[16-5-2014 11:55:18] Tracker is counting time.
[16-5-2014 11:55:18] Monitored ON time: 35
[16-5-2014 11:56:18] Tracker is counting time.
[16-5-2014 11:56:18] Monitored ON time: 36
[16-5-2014 11:57:19] Tracker is counting time.
[16-5-2014 11:57:19] Monitored ON time: 37
[16-5-2014 11:58:19] Tracker is counting time.
[16-5-2014 11:58:19] Monitored ON time: 38
[16-5-2014 11:59:20] Tracker is counting time.
